Name,Age,Overall,Potential,Special,BMI
 20 L. van Kleef,18.0,58.0,74.0,1505.0,22.36
 20 Leandro Fernandes,19.0,60.0,72.0,1646.0,23.77
 20 Lee Chang Min,25.0,70.0,73.0,1825.0,24.36
 20 Lee Jea Ho,21.0,46.0,54.0,1287.0,23.02
 20 Lee Kang Hee,17.0,52.0,68.0,1452.0,20.66
 20 Licá,30.0,71.0,71.0,1869.0,21.22
 20 Lim Chan Wool,24.0,65.0,67.0,1718.0,23.11
 20 Lolo,27.0,66.0,67.0,1714.0,24.14
 20 Lucas Evangelista,24.0,75.0,78.0,1945.0,20.29
 20 Lucas Ribeiro,20.0,64.0,79.0,1402.0,21.77
 20 Lucas Santos,20.0,66.0,76.0,1684.0,22.75
 20 Lucas Silva,26.0,74.0,77.0,1919.0,23.62
 20 Luis Muñoz,22.0,67.0,75.0,1477.0,23.37
 20 Lukian,27.0,66.0,66.0,1593.0,23.62
 20 M. Acikgöz,19.0,60.0,73.0,1592.0,22.75
 20 M. Albertazzi,28.0,64.0,64.0,1597.0,21.23
 20 M. Ali,19.0,63.0,80.0,1544.0,23.32
 20 M. Andersen,33.0,63.0,63.0,1679.0,22.46
 20 M. Aramu,24.0,68.0,70.0,1775.0,20.91
 20 M. Azarkan,17.0,62.0,81.0,1466.0,23.48
 20 M. Azeez,16.0,59.0,76.0,1568.0,22.75
 20 M. Bagayoko,29.0,65.0,65.0,1588.0,21.49
 20 M. Barbosa,34.0,75.0,75.0,1216.0,22.08
 20 M. Bareiro,24.0,68.0,74.0,1815.0,21.83
 20 M. Barnes,22.0,60.0,67.0,1460.0,20.94
 20 M. Barovero,35.0,75.0,75.0,1191.0,21.83
 20 M. Benítez,25.0,75.0,79.0,1865.0,24.13
 20 M. Bevan,22.0,59.0,65.0,1476.0,23.02
 20 M. Bianchetti,26.0,70.0,71.0,1589.0,22.93
 20 M. Blengio,21.0,67.0,79.0,973.0,22.46
 20 M. Boben,25.0,65.0,69.0,1401.0,22.87
 20 M. Boudjemaa,21.0,62.0,75.0,1601.0,21.22
 20 M. Brizuela,22.0,66.0,74.0,1437.0,22.14
 20 M. Brunori,24.0,64.0,69.0,1519.0,22.75
 20 M. Caballero,24.0,70.0,75.0,1654.0,23.44
 20 M. Caligiuri,35.0,71.0,71.0,1834.0,22.75
 20 M. Campaña,30.0,76.0,76.0,1283.0,21.52
 20 M. Camporese,27.0,71.0,71.0,1467.0,21.52
 20 M. Capuano,27.0,72.0,72.0,1609.0,22.98
 20 M. Casey,19.0,55.0,72.0,1227.0,19.13
 20 M. Castroman,24.0,63.0,68.0,1649.0,22.46
 20 M. Cavalleri,21.0,65.0,75.0,1599.0,22.42
 20 M. Chiosa,25.0,67.0,70.0,1490.0,22.45
 20 M. Chirinos,24.0,71.0,74.0,1785.0,24.95
 20 M. Clark,20.0,60.0,70.0,1561.0,22.79
 20 M. Collao,21.0,65.0,76.0,1605.0,22.46
 20 M. Compper,34.0,64.0,64.0,1457.0,22.69
 20 M. Coppolaro,22.0,66.0,75.0,1623.0,22.36
 20 M. Dauda,21.0,66.0,75.0,1666.0,22.14
 20 M. De Marino,19.0,55.0,71.0,1260.0,23.21
 20 M. Diakité,20.0,55.0,68.0,1486.0,22.78
 20 M. Dignam,20.0,55.0,65.0,1374.0,23.98
 20 M. Dossevi,31.0,76.0,76.0,1882.0,21.45
 20 M. Díaz,33.0,76.0,76.0,1157.0,25.01
 20 M. Ebiye,22.0,60.0,68.0,1576.0,21.52
 20 M. Ekici,29.0,72.0,72.0,1941.0,23.37
 20 M. El Kabir,30.0,70.0,70.0,1799.0,27.02
 20 M. Eleev,18.0,60.0,73.0,1459.0,21.83
 20 M. Escudero,30.0,68.0,68.0,1387.0,24.09
 20 M. Firenze,26.0,64.0,66.0,1665.0,21.22
 20 M. Folivi,21.0,61.0,72.0,1410.0,25.39
 20 M. Foulds,21.0,59.0,70.0,1399.0,22.75
 20 M. Frýdek,27.0,73.0,73.0,2036.0,23.09
 20 M. García,20.333333333333332,64.33333333333333,74.33333333333333,1581.3333333333333,21.713333333333335
 20 M. Gillam,20.0,58.0,68.0,1424.0,21.83
 20 M. Graiciar,20.0,67.0,75.0,1594.0,23.02
 20 M. Guzmán,19.0,53.0,61.0,1174.0,23.32
 20 M. Gyamfi,19.0,54.0,62.0,1315.0,21.52
 20 M. Gómez,33.0,74.0,74.0,1710.0,24.91
 20 M. Götze,27.0,80.0,80.0,2099.0,24.09
 20 M. Hall,21.0,52.0,61.0,820.0,22.36
 20 M. Hassen,24.0,69.0,72.0,1140.0,22.98
 20 M. Hašek,23.0,72.0,75.0,1996.0,22.45
 20 M. Helm,17.0,59.0,75.0,1530.0,21.83
 20 M. Hernández,36.0,64.0,64.0,1037.0,24.52
 20 M. Ingebrigtsen,22.0,64.0,73.0,1729.0,23.48
 20 M. Kapo,18.0,62.0,80.0,1632.0,22.13
 20 M. Kozáčik,35.0,72.0,72.0,1169.0,23.35
 20 M. Kwietniewski,20.0,56.0,66.0,1404.0,22.14
 20 M. Larrondo,30.0,69.0,69.0,1620.0,21.77
 20 M. Laurent,27.0,64.0,64.0,1687.0,20.72
 20 M. Lavinier,18.0,56.0,70.0,1449.0,20.63
 20 M. Lešković,28.0,68.0,70.0,1361.0,24.34
 20 M. Ljujić,25.0,70.0,72.0,1851.0,22.69
 20 M. López,28.0,62.0,62.0,1618.0,24.52
 20 M. Maddison,25.0,71.0,72.0,1779.0,21.83
 20 M. Mampala,18.0,62.0,76.0,1581.0,22.13
 20 M. Mancosu,34.0,64.0,64.0,1582.0,23.02
 20 M. Mandžukić,33.0,83.0,83.0,2094.0,23.15
 20 M. Meli,19.0,58.0,78.0,1443.0,21.83
 20 M. Migliorini,27.0,68.0,70.0,1350.0,23.08
 20 M. Mohammadi,25.0,72.0,75.0,1837.0,22.46
 20 M. Moreno,22.0,68.0,74.0,1632.0,23.13
 20 M. Mouandilmadji,21.0,67.0,77.0,1560.0,22.13
 20 M. Mudryk,18.0,64.0,83.0,1502.0,19.53
 20 M. Młyński,18.0,61.0,76.0,1575.0,21.51
 20 M. Naamani,28.0,65.0,67.0,1309.0,24.31
 20 M. Nalepa,24.0,66.0,70.0,1872.0,25.21
 20 M. Nawrocki,17.5,57.0,75.0,1437.0,22.11
 20 M. Ndir,18.0,56.0,67.0,1277.0,21.52
 20 M. Nzita,19.0,57.0,68.0,1406.0,21.83
 20 M. O'Riley,18.0,59.0,79.0,1526.0,21.8
 20 M. Odjer,22.0,65.0,74.0,1802.0,23.48
 20 M. Osei Kwadwo,24.0,62.0,65.0,1598.0,23.82
 20 M. Ostrzolek,29.0,69.0,69.0,1841.0,22.78
 20 M. Peck,18.0,48.0,63.0,1364.0,21.49
 20 M. Pedersen,37.0,68.0,68.0,1788.0,21.83
 20 M. Piccinocchi,24.0,62.0,69.0,1716.0,22.46
 20 M. Pisano,27.0,75.0,75.0,1848.0,22.01
 20 M. Pompetti,19.0,60.0,75.0,1420.0,22.46
 20 M. Preston,24.0,62.0,63.0,1508.0,23.32
 20 M. Prinz,19.0,57.0,74.0,875.0,21.2
 20 M. Præst,19.0,51.0,71.0,1380.0,21.22
 20 M. Pugh,32.0,69.0,69.0,1771.0,22.14
 20 M. Pérez,24.0,58.0,65.0,1372.0,22.75
 20 M. Rensing,35.0,70.0,70.0,1153.0,25.08
 20 M. Ristl,22.0,63.0,70.0,1623.0,24.36
 20 M. Rodríguez,18.0,62.0,78.0,1583.0,21.65
 20 M. Rohr,24.0,59.0,64.0,1308.0,20.65
 20 M. Rosenberg,36.0,72.0,72.0,1891.0,24.22
 20 M. Ruben,32.0,74.0,74.0,1879.0,23.41
 20 M. Russ,33.0,72.0,72.0,1487.0,23.97
 20 M. Sagaf,21.0,57.0,68.0,1467.0,21.83
 20 M. Sarr,24.0,61.0,65.0,1521.0,23.49
 20 M. Schlegel,22.0,56.0,62.0,1441.0,23.85
 20 M. Schmeling,19.0,54.0,68.0,1372.0,23.68
 20 M. Schmiedebach,30.0,69.0,69.0,1838.0,23.82
 20 M. Schulze Niehues,30.0,65.0,65.0,1083.0,23.88
 20 M. Sepúlveda,20.0,66.0,76.0,1785.0,23.09
 20 M. Siampanis,19.0,66.0,76.0,1094.0,23.85
 20 M. Skjellerup,23.0,49.0,58.0,1296.0,21.8
 20 M. Somma,24.0,70.0,77.0,1606.0,23.02
 20 M. Sow,33.0,74.0,74.0,1907.0,24.91
 20 M. Sowiński,18.0,54.0,69.0,1389.0,22.14
 20 M. Stefandl,21.0,58.0,67.0,1496.0,23.68
 20 M. Svoboda,20.0,64.0,72.0,1484.0,21.96
 20 M. Thiam,24.0,67.0,70.0,1805.0,25.21
 20 M. Tijani,21.0,69.0,79.0,1514.0,25.76
 20 M. Torres,34.0,67.0,67.0,1628.0,24.86
 20 M. Trotta,26.0,71.0,72.0,1781.0,23.78
 20 M. Trovato,21.0,62.0,74.0,1583.0,22.13
 20 M. Tévez,22.0,65.0,73.0,1651.0,23.48
 20 M. Valiente,19.0,59.0,76.0,1422.0,23.09
 20 M. Varnier,21.0,69.0,81.0,1583.0,23.85
 20 M. Velásquez,31.0,63.0,63.0,1364.0,23.98
 20 M. Vitale,21.0,66.0,73.0,1758.0,22.72
 20 M. Vorm,35.0,74.0,74.0,1293.0,24.82
 20 M. Wasilewski,39.0,68.0,68.0,1542.0,25.3
 20 M. Winter,18.0,56.0,64.0,1497.0,22.46
 20 M. Wolski,22.0,58.0,64.0,1574.0,21.81
 20 M. Wölfli,36.0,66.0,66.0,1093.0,25.3
 20 M. Yang,23.0,59.0,63.0,1601.0,21.12
 20 M. Yanga-Mbiwa,30.0,72.0,72.0,1625.0,23.02
 20 M. Yattara,25.0,69.0,72.0,1661.0,22.69
 20 M. van Rooijen,20.0,60.0,72.0,1610.0,23.41
 20 M. van de Meulenhof,20.0,61.0,74.0,939.0,25.21
 20 M. Đira,20.0,66.0,79.0,1832.0,23.48
 20 Marc Aguado,19.0,62.0,79.0,1640.0,21.51
 20 Marc Muniesa,27.0,73.0,76.0,1784.0,22.78
 20 Marcos Guilherme,23.0,75.0,81.0,1844.0,20.03
 20 Mariano,33.0,77.0,77.0,2079.0,21.51
 20 Markel Bergara,33.0,75.0,75.0,1904.0,23.98
 20 Martínez,20.0,57.0,71.0,1322.0,20.65
 20 Maurício,30.0,76.0,76.0,2112.0,23.98
 20 Messias,24.0,68.0,74.0,1403.0,23.35
 20 Miguel Rodrigues,26.0,70.0,73.0,1543.0,21.51
 20 Mika,28.0,68.0,71.0,1091.0,23.27
 20 Mikel Carro,20.0,64.0,75.0,1634.0,22.08
 20 Moha,20.0,68.0,83.0,1664.0,22.75
 20 Moha Ramos,19.0,64.0,78.0,944.0,23.78
 20 Mujaid,19.0,69.0,83.0,1532.0,22.75
 20 N. Agho,16.0,52.0,76.0,1288.0,23.62
 20 N. Baggerman,21.0,63.0,69.0,1654.0,23.11
 20 N. Balogh,23.0,67.0,73.0,1631.0,20.64
 20 N. Bannis,17.0,61.0,79.0,1436.0,21.83
 20 N. Baxter,20.0,63.0,74.0,1007.0,21.51
 20 N. Bendtner,31.0,70.0,70.0,1768.0,22.27
 20 N. Bishop,19.0,63.0,77.0,955.0,20.94
 20 N. Broadhead,21.0,63.0,75.0,1575.0,23.09
 20 N. Casale,21.0,61.0,73.0,1390.0,21.77
 20 N. Clyne,28.0,76.0,76.0,1964.0,21.81
 20 N. Dalmonte,21.0,66.0,77.0,1759.0,25.21
 20 N. Dicko,27.0,69.0,69.0,1768.0,24.47
 20 N. Fazzi,24.0,64.0,69.0,1754.0,23.32
 20 N. Giménez,23.0,74.0,81.0,1970.0,24.36
 20 N. Guerra,20.0,66.0,78.0,1578.0,20.51
 20 N. Gyömbér,26.0,72.0,72.0,1444.0,20.66
 20 N. Hasler,28.0,64.0,64.0,1777.0,23.98
 20 N. Havenaar,24.0,64.0,70.0,1307.0,23.1
 20 N. Hefti,19.0,58.0,75.0,1550.0,22.46
 20 N. Hunt,35.0,57.0,57.0,1510.0,25.01
 20 N. Husin,22.0,60.0,69.0,1687.0,20.24
 20 N. Julan,22.0,65.0,71.0,1542.0,21.7
 20 N. Karelis,27.0,70.0,70.0,1804.0,23.13
 20 N. Kenneh,16.0,55.0,78.0,1381.0,21.22
 20 N. Kölle,19.0,60.0,73.0,1506.0,23.68
 20 N. Leali,26.0,70.0,73.0,1076.0,22.0
 20 N. Medvedev,24.0,65.0,71.0,917.0,21.2
 20 N. Mekonnen,19.0,60.0,75.0,1583.0,20.24
 20 N. Ninković,24.0,71.0,76.0,1759.0,23.32
 20 N. Obiora,27.0,70.0,70.0,1789.0,23.56
 20 N. Oroz,25.0,70.0,72.0,1765.0,24.47
 20 N. Peñailillo,27.0,66.0,66.0,1911.0,21.52
 20 N. Quaschner,25.0,64.0,65.0,1683.0,24.22
 20 N. Schiappacasse,20.0,64.0,78.0,1562.0,21.83
 20 N. Sommer,21.0,59.0,66.0,1567.0,24.04
 20 N. Thomas,24.0,64.0,66.0,1680.0,24.99
 20 N. Tié,18.0,53.0,73.0,830.0,20.93
 20 N. Tormey,19.0,58.0,72.0,1518.0,23.13
 20 N. Varotto,17.0,58.0,76.0,1514.0,22.13
 20 Nacho Díaz,19.0,60.0,73.0,1404.0,22.79
 20 Naldo,36.0,77.0,77.0,1843.0,22.16
 20 Nathan,23.0,71.0,76.0,1708.0,22.46
 20 Negueba,27.0,71.0,71.0,1779.0,20.24
 20 Neris,27.0,73.0,74.0,1571.0,23.08
 20 Neto Borges,22.0,66.0,72.0,1731.0,25.6
 20 Nguyen Cong Phuong,24.0,62.0,67.0,1513.0,22.77
 20 Nico Hidalgo,27.0,65.0,65.0,1747.0,20.51
 20 Nicolas Firmino,18.0,52.0,72.0,1398.0,21.22
 20 Nivo Serpinho,23.0,73.0,73.0,1175.0,22.69
 20 Nuno Coelho,31.0,73.0,73.0,1780.0,20.33
 20 Nuno Henrique,20.0,62.0,72.0,1627.0,23.32
 20 Nuno Macedo,20.0,64.0,73.0,1009.0,23.32
 20 O. Albornoz,23.0,67.0,73.0,1743.0,23.32
 20 O. Ashley,19.0,51.0,65.0,1427.0,25.21
 20 O. Bias,18.0,60.0,70.0,1492.0,21.65
 20 O. Bogle,25.0,66.0,68.0,1571.0,21.77
 20 O. Carabalí,22.0,61.0,70.0,997.0,26.04
 20 O. Diakité,18.0,66.0,80.0,1768.0,23.21
 20 O. Djorkaeff,22.0,57.0,66.0,1571.0,21.51
 20 O. Drost,23.0,60.0,67.0,1513.0,20.66
 20 O. Fink,37.0,72.0,72.0,1899.0,22.08
 20 O. Gaines,21.0,62.0,69.0,1494.0,22.45
 20 O. Hernández,26.0,62.0,65.0,1454.0,22.46
 20 O. Hiljemark,27.0,74.0,75.0,1954.0,21.83
 20 O. Lee,27.0,66.0,66.0,1809.0,24.29
 20 O. Ndiaye,20.0,64.0,76.0,1594.0,22.13
 20 O. Niasse,29.0,72.0,72.0,1723.0,22.13
 20 O. Nowak,21.0,59.0,66.0,1414.0,23.68
 20 O. Onazi,26.0,75.0,76.0,2070.0,24.47
 20 O. Perianu,17.0,56.0,75.0,1549.0,21.19
 20 O. Petrák,27.0,70.0,71.0,1784.0,22.69
 20 O. Saundry,19.0,53.0,64.0,917.0,18.04
 20 O. Simmonds,19.0,56.0,74.0,1519.0,23.32
 20 O. Valakari,19.0,64.0,77.0,1626.0,23.21
 20 O. Watkinson,18.0,48.0,67.0,1184.0,21.83
 20 O. Álvarez,24.0,64.0,71.0,1506.0,24.67
 20 Oriol Riera,32.0,67.0,67.0,1743.0,23.32
 20 P. Akono,19.0,61.0,74.0,1672.0,22.72
 20 P. Aránguiz,22.0,72.0,81.0,1754.0,22.1
 20 P. Bargfrede,30.0,75.0,75.0,1957.0,23.11
 20 P. Borukov,19.0,58.0,75.0,1361.0,26.04
 20 P. Brożek,36.0,66.0,66.0,1595.0,23.98
 20 P. Cissé,34.0,76.0,76.0,1876.0,21.83
 20 P. Ciurria,24.0,68.0,72.0,1669.0,21.19
 20 P. Cucchi,26.0,71.0,72.0,1788.0,24.67
 20 P. De Blasis,31.0,73.0,73.0,2082.0,23.48
 20 P. Díaz,19.0,54.0,63.0,1398.0,21.83
 20 P. Ebert,32.0,69.0,69.0,1921.0,25.72
 20 P. Finger,18.0,57.0,72.0,1611.0,22.01
 20 P. Franco,28.0,69.0,70.0,1807.0,21.83
 20 P. Glatzel,18.0,60.0,80.0,1512.0,21.81
 20 P. Haring,26.0,71.0,75.0,1776.0,23.78
 20 P. Hoffmann,27.0,64.0,64.0,1662.0,22.11
 20 P. Itter,24.0,62.0,67.0,1682.0,24.99
 20 P. Jagne,29.0,68.0,68.0,1927.0,25.39
 20 P. Jaquez,23.0,65.0,72.0,1465.0,22.75
 20 P. Jaroszyński,24.0,66.0,71.0,1733.0,23.32
 20 P. Kasami,27.0,73.0,73.0,1926.0,24.63
 20 P. Kpohomouh,17.0,59.0,72.0,1358.0,22.4
 20 P. Köhn,21.0,63.0,72.0,951.0,21.77
 20 P. Lima,28.0,65.0,65.0,1570.0,23.68
 20 P. Magalhães,29.0,69.0,69.0,1797.0,23.09
 20 P. Mahlambi,21.0,70.0,77.0,1698.0,23.13
 20 P. Martínez,22.0,66.0,73.0,1648.0,21.81
 20 P. Medina,20.0,66.0,74.0,1650.0,20.88
 20 P. Menzel,20.0,62.0,74.0,906.0,22.27
 20 P. Mpoku,27.0,74.0,74.0,1952.0,23.98
 20 P. Nguinda,23.0,63.0,69.0,1508.0,23.62
 20 P. Ofosu-Ayeh,27.0,63.0,63.0,1708.0,24.91
 20 P. Osvaldo,33.0,72.0,72.0,1739.0,24.22
 20 P. Pflücke,22.0,64.0,73.0,1609.0,22.79
 20 P. Prado,23.0,60.0,67.0,1515.0,23.13
 20 P. Schönfeld,30.0,66.0,66.0,1819.0,24.14
 20 P. Segbefia,28.0,65.0,65.0,1764.0,23.41
 20 P. Souaré,29.0,70.0,70.0,1861.0,20.88
 20 P. Szymiński,25.0,68.0,73.0,1655.0,22.11
 20 P. Teixeira,20.0,55.0,70.0,1404.0,22.78
 20 P. Vassell,20.0,60.0,72.0,1550.0,17.83
 20 P. Verhaegh,35.0,71.0,71.0,1873.0,23.09
 20 P. Wade,19.0,59.0,73.0,1606.0,21.19
 20 P. Wienhoven,19.0,59.0,69.0,1575.0,22.14
 20 P. Wilson,22.0,65.0,74.0,1723.0,21.83
 20 P. Zabaleta,34.0,74.0,74.0,1941.0,23.09
 20 Pablo Haro,22.0,62.0,71.0,1626.0,22.46
 20 Park Han Geun,23.0,49.0,55.0,852.0,21.23
 20 Park Jung Bin,25.0,62.0,63.0,1608.0,21.83
 20 Patrick,23.5,65.0,73.5,1679.0,23.325
 20 Pedrinho,26.0,71.0,72.0,1957.0,26.78
 20 Pedro,22.0,74.0,82.0,1737.0,23.32
 20 Peng Rui,25.0,56.0,59.0,1584.0,20.84
 20 Q. van den Heerik,17.0,57.0,73.0,1401.0,21.53
 20 R. Allassani,23.0,58.0,64.0,1451.0,23.82
 20 R. Arace,24.0,61.0,67.0,1529.0,24.13
 20 R. Austin,34.0,68.0,68.0,1685.0,23.32
 20 R. Aya,28.0,68.0,69.0,1686.0,23.32
 20 R. Baturina,19.0,59.0,72.0,1413.0,24.14
 20 R. Bauer,24.0,70.0,74.0,1821.0,23.32
 20 R. Bennett,27.0,64.0,64.0,1583.0,20.94
 20 R. Bidounga,22.0,59.0,70.0,1339.0,25.01
 20 R. Birjukov,20.0,55.0,67.0,896.0,20.1
 20 R. Bonevacia,27.0,69.0,69.0,1953.0,22.1
 20 R. Botta,29.0,75.0,75.0,1886.0,20.84
 20 R. Brosco,28.0,68.0,68.0,1443.0,21.49
 20 R. Campbell,19.0,54.0,65.0,1330.0,23.21
 20 R. Charles-Cook,25.0,60.0,63.0,1123.0,22.98
 20 R. Collins,18.0,53.0,72.0,1267.0,21.74
 20 R. Corrigan,18.0,51.0,68.0,1300.0,22.78
 20 R. Dekker,24.0,67.0,71.0,1784.0,21.45
 20 R. Duarte,17.0,54.0,74.0,1307.0,23.11
 20 R. Echeverría,24.0,68.0,73.0,1817.0,22.45
 20 R. Elliot,33.0,69.0,69.0,1152.0,25.63
 20 R. Elm,31.0,70.0,70.0,1861.0,22.13
 20 R. Feczesin,33.0,66.0,66.0,1676.0,20.95
 20 R. Gestede,30.0,68.0,68.0,1631.0,23.08
 20 R. González,19.0,60.0,75.0,1498.0,20.99
 20 R. Goss,25.0,61.0,65.0,918.0,22.75
 20 R. Griffiths,19.0,62.0,80.0,1461.0,23.37
 20 R. Gíslason,31.0,68.0,68.0,1799.0,23.32
 20 R. Gómez,26.0,73.0,73.0,1922.0,23.11
 20 R. Hale,20.0,60.0,73.0,1584.0,22.46
 20 R. Hauge,17.0,54.0,73.0,1521.0,22.46
 20 R. Hepburn-Murphy,20.0,63.0,77.0,1529.0,21.45
 20 R. Hernández,30.0,50.0,50.0,1411.0,23.8
 20 R. Hubník,35.0,72.0,72.0,1733.0,23.88
 20 R. Janga,27.0,69.0,69.0,1613.0,23.35
 20 R. Kiernan,28.0,64.0,64.0,1472.0,22.4
 20 R. Kitoko,31.0,65.0,65.0,1787.0,22.46
 20 R. Lambe,28.0,62.0,62.0,1652.0,26.37
 20 R. Ledezma,18.0,65.0,78.0,1681.0,22.42
 20 R. López,32.0,65.0,65.0,1672.0,21.45
 20 R. Mak,28.0,74.0,74.0,1866.0,24.67
 20 R. Mandive,34.0,68.0,68.0,1814.0,27.06
 20 R. Mazáň,25.0,66.0,69.0,1767.0,23.98
 20 R. McLean,20.0,54.0,64.0,1266.0,22.69
 20 R. Meggiorini,33.0,72.0,72.0,1795.0,23.32
 20 R. Miura,27.0,53.0,56.0,854.0,22.75
 20 R. Munsy,29.0,65.0,65.0,1595.0,25.19
 20 R. Musaba,18.0,59.0,71.0,1476.0,21.51
 20 R. Nartey,20.0,63.0,74.0,1445.0,23.32
 20 R. Nizet,17.0,57.0,75.0,1500.0,19.73
 20 R. Nya,19.0,57.0,77.0,1558.0,20.33
 20 R. O'Farrell,18.0,55.0,69.0,1491.0,22.69
 20 R. Ovelar,33.0,72.0,72.0,1733.0,24.91
 20 R. Paparelli,22.0,62.0,73.0,1399.0,24.22
 20 R. Prieto,22.0,66.0,75.0,1624.0,22.79
 20 R. Richards,18.0,59.0,75.0,1483.0,24.09
 20 R. Sammut,21.0,59.0,68.0,1437.0,22.46
 20 R. Saravia,26.0,75.0,77.0,1938.0,24.09
 20 R. Shotton,30.0,71.0,71.0,1735.0,22.87
 20 R. Stewart,24.0,61.0,68.0,1139.0,20.1
 20 R. Tachie,20.0,60.0,71.0,1527.0,23.02
 20 R. Tarifeño,22.0,66.0,75.0,1601.0,20.84
 20 R. Vodišek,20.0,66.0,79.0,988.0,23.49
 20 R. Wallace,34.0,67.0,67.0,1850.0,22.42
 20 R. York,19.0,52.0,68.0,1443.0,22.14
 20 R. van La Parra,28.0,71.0,71.0,1771.0,22.14
 20 R. van Rhijn,28.0,69.0,69.0,1929.0,22.78
 20 R. Živković,22.0,68.0,73.0,1639.0,21.8
 20 Rafa Tresaco,18.0,61.0,76.0,1430.0,21.51
 20 Rafael Gava,26.0,66.0,68.0,1648.0,22.46
 20 Raffael,34.0,76.0,76.0,1954.0,22.14
 20 Renato Neto,27.0,67.0,67.0,1777.0,24.14
 20 Ricardo Matos,19.0,60.0,74.0,1485.0,21.83
 20 Rodrigo Fernandes,18.0,66.0,84.0,1816.0,24.52
 20 Rodrigo Freitas,21.0,64.0,74.0,1402.0,23.21
 20 Rômulo,32.0,75.0,75.0,2054.0,22.78
 20 S. Adarkwa,18.0,58.0,68.0,1452.0,20.63
 20 S. Adetiloye,18.0,52.0,67.0,1432.0,22.14
 20 S. Alberto,23.0,61.0,68.0,1437.0,22.36
 20 S. Alic,20.0,50.0,61.0,1333.0,20.94
 20 S. Allagui,33.0,69.0,69.0,1740.0,23.02
 20 S. Aloi,22.0,65.0,73.0,1829.0,22.46
 20 S. Anderson,16.0,52.0,75.0,1352.0,20.51
 20 S. Atakayi,20.0,60.0,78.0,1425.0,22.1
 20 S. Bakaev,19.0,60.0,75.0,1495.0,21.51
 20 S. Ballesteros,18.0,51.0,63.0,1371.0,23.48
 20 S. Banks,17.0,59.0,76.0,1474.0,22.14
 20 S. Ben David,21.0,64.0,71.0,1704.0,23.62
 20 S. Ben Youssef,30.0,71.0,71.0,1603.0,23.21
 20 S. Benedetti,27.0,68.0,70.0,1568.0,21.77
 20 S. Bidaoui,29.0,66.0,66.0,1620.0,20.51
 20 S. Birindelli,19.0,68.0,82.0,1813.0,22.46
 20 S. Blaney,20.0,58.0,68.0,1378.0,21.49
 20 S. Braken,26.0,66.0,68.0,1591.0,23.78
 20 S. Carrasco,30.0,64.0,64.0,1758.0,22.75
 20 S. Carruthers,26.0,63.0,64.0,1734.0,23.13
 20 S. Defour,31.0,76.0,76.0,2050.0,23.44
 20 S. Demhasaj,23.0,64.0,71.0,1490.0,21.49
 20 S. Doumbia,31.0,71.0,71.0,1841.0,25.62
 20 S. Downing,34.0,70.0,70.0,1873.0,19.37
 20 S. Elia,20.0,62.0,71.0,1508.0,20.63
 20 S. Enzler,21.0,57.0,69.0,906.0,22.69
 20 S. Francis,34.0,74.0,74.0,1770.0,25.19
 20 S. Franco,20.0,68.0,74.0,1721.0,21.81
 20 S. Friede,21.0,64.0,73.0,1767.0,23.21
 20 S. Galani,21.0,67.0,78.0,1738.0,23.11
 20 S. Gori,23.0,68.0,76.0,1132.0,21.23
 20 S. Greenwood,17.0,57.0,74.0,1397.0,21.52
 20 S. Gustafson,24.0,68.0,72.0,1776.0,22.98
 20 S. Guzmán,22.0,68.0,78.0,1772.0,18.03
 20 S. Günther,18.0,53.0,67.0,792.0,21.77
 20 S. Haubrock,19.0,55.0,69.0,1253.0,22.11
 20 S. Hutchinson,29.0,71.0,71.0,1799.0,21.83
 20 S. Kalou,33.0,76.0,76.0,1898.0,22.69
 20 S. Kassar,29.0,59.0,59.0,1547.0,20.37
 20 S. Kchouk,25.0,60.0,64.0,1481.0,23.02
 20 S. Kingsley,24.0,67.0,69.0,1736.0,24.36
 20 S. Lahssaini,20.0,59.0,69.0,1616.0,22.78
 20 S. Lang,31.0,62.0,62.0,1645.0,21.51
 20 S. Langkamp,31.0,74.0,74.0,1472.0,23.15
 20 S. Leyton,26.0,64.0,67.0,1772.0,21.51
 20 S. Lichtsteiner,35.0,72.0,72.0,1931.0,22.72
 20 S. Loric,18.0,52.0,66.0,1305.0,22.46
 20 S. Marković,19.0,66.0,82.0,1585.0,22.11
 20 S. Matoug,19.0,59.0,73.0,1517.0,22.78
 20 S. McDonald,21.0,52.0,60.0,1276.0,23.37
 20 S. McKinstry,16.0,56.0,78.0,1328.0,21.51
 20 S. Melvin,24.0,53.0,58.0,876.0,23.08
 20 S. Montiel,18.0,60.0,72.0,1617.0,21.65
 20 S. Motta,35.0,71.0,71.0,1943.0,22.79
 20 S. Naismith,32.0,72.0,72.0,2013.0,22.78
 20 S. Nasri,32.0,74.0,74.0,1787.0,24.09
 20 S. Padoin,35.0,70.0,70.0,1956.0,23.09
 20 S. Palombi,23.0,66.0,73.0,1625.0,20.63
 20 S. Pettinari,27.0,68.0,68.0,1710.0,22.69
 20 S. Pocognoli,31.0,68.0,68.0,1909.0,24.22
 20 S. Privat,29.0,65.0,65.0,1592.0,24.63
 20 S. Ramos Mingo,17.0,62.0,79.0,1364.0,21.23
 20 S. Robertson,18.0,56.0,73.0,1424.0,22.14
 20 S. Rosa,17.0,60.0,78.0,1535.0,22.4
 20 S. Royce,47.0,48.0,48.0,852.0,24.34
 20 S. Russo,24.5,60.5,68.0,1320.5,22.41
